hour,pv_kw,P_DAC_kw,P_PEM_kw,P_MeOH_kw,P_grid_kw,P_curt_kw,P_ch_kw,P_dis_kw,z_bat,battery_mode,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,z_MeOH_on,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1100,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1049087.4658466182,1296.0,1.8304666161162113,10,0,0,0,0
1101,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1049051.4658466182,1188.0,1.6840292868269144,10,0,0,0,0
1102,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1049015.4658466182,1080.0,1.5375919575376176,10,0,0,0,0
1103,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.13911546282483225,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1048979.4658466182,972.0,1.3911546282483207,10,0,0,0,0
1104,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1048943.4658466182,864.0,1.2447172989590236,10,0,0,0,0
1105,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1048907.4658466182,756.0,1.0982799696697267,10,0,0,0,0
1106,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1048871.4658466182,648.0,0.9518426403804299,10,0,0,0,0
1107,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1048835.4658466182,540.0,0.805405311091133,10,0,0,0,0
1108,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1048799.4658466182,432.0,0.6589679818018361,10,0,0,0,0
1109,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1048763.4658466182,324.0,0.5125306525125393,10,0,0,0,0
1110,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1048727.4658466182,216.0,0.3660933232232423,10,0,0,0,0
1111,0.0,0,0.0,0.1391154628248321,0.1391154628248321,0.0,0.0,0.0,0,idle,0,0.0,0.01,0.03,1.0480259049342107,1,1048691.4658466182,108.0,0.21965599393394536,10,0,0,0,0
1112,143.932832,0,120.0,1.3619695661172375,0.0,22.570862433882752,0.0,0.0,1,idle,0,0.29370629370629375,0.09790209790209792,0.29370629370629375,10.260393474880386,1,1048655.4658466182,0.0,0.21965599393394536,10,0,0,0,0
1113,391.316831,0,120.0,1.3619695661172375,0.0,268.1051267481232,1.84973468575954,0.0,1,charge,0,0.29370629370629375,0.09790209790209792,0.29370629370629375,10.260393474880386,1,1048303.0182941707,0.0,0.21965599393394536,10,0,0,0,0
1114,595.67796,0,120.0,0.1391154628248321,0.0,477.2082300910731,0.0,1.669385553897985,0,discharge,0,0.29370629370629375,0.01,0.03,1.0480259049342107,1,1047950.5707417232,0.0,1.9769039454055082,10,0,0,0,0
1115,737.333139,0,120.0,2.0867319423724813,0.0,613.3966723718679,1.84973468575954,0.0,1,charge,0,0.29370629370629375,0.15,0.45,15.720388574013159,1,1047914.5707417232,949.3426573426575,0.21965599393394536,10,0,0,0,0
